X GeneID	geneSymbol	chr	strand	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference	AS_type	comp	transcript_type	gene_type	Note	Name	Ontology_term	gene_name
gene:Solyc09g055700.4_40335237_40337392_40335237_40335320_40335441_40337392	gene:Solyc09g055700.4	NA	chr9	+	32,19	6,2	11,13	0,0	148	74	9.24553046984e-05	0.00200672613509324	0.727,0.826	1.0,1.0	-0.224	RI	HS1.vs.HS0	protein_coding	protein_coding	protein FLX-like 1 (AHRD V3.3 *** A0A2I4GXJ8_9ROSI)	Solyc09g055700.4.1	NA	NA
gene:Solyc09g055570.3_38550030_38551136_38550030_38550102_38550270_38551136	gene:Solyc09g055570.3	NA	chr9	+	60,63	14,19	26,14	1,1	148	74	0.00053744117677	0.00839692527213635	0.682,0.624	0.929,0.875	-0.249	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc09g030360.3_30690425_30692230_30690425_30691030_30691660_30692230	gene:Solyc09g030360.3	NA	chr9	-	89,59	10,13	66,90	3,0	148	74	9.01099690076e-06	0.000307451044640969	0.817,0.694	0.917,1.0	-0.203	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc09g018830.2_17711411_17711716_17711411_17711469_17711534_17711716	gene:Solyc09g018830.2	NA	chr9	+	12,12	0,0	90,70	5,8	139	74	0.000604433391061	0.00917888121608366	1.0,1.0	0.906,0.823	0.135	RI	HS1.vs.HS0	protein_coding	protein_coding	MLO-like protein (AHRD V3.3 *** M1BT43_SOLTU)	Solyc09g018830.2.1	GO:0006952" "GO:0016021	NA
gene:Solyc09g014620.3_6370100_6371161_6370100_6370259_6371074_6371161	gene:Solyc09g014620.3	NA	chr9	+	52,30	22,20	20,9	1,0	148	74	8.09850228878e-07	3.98839968934444e-05	0.542,0.429	0.909,1.0	-0.469	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc09g014620.3_6370100_6371161_6370100_6370259_6371078_6371161	gene:Solyc09g014620.3	NA	chr9	+	73,40	10,1	40,17	0,0	148	74	0.000149105729589	0.00296036768282723	0.785,0.952	1.0,1.0	-0.131	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc09g014600.1_6332298_6334801_6332298_6332930_6333465_6334801	gene:Solyc09g014600.1	NA	chr9	+	41,35	24,14	29,17	0,0	148	74	2.18564832899e-10	3.2778550787028e-08	0.461,0.556	1.0,1.0	-0.491	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc09g010970.4_4382848_4383277_4382848_4382903_4383025_4383277	gene:Solyc09g010970.4	NA	chr9	-	87,120	17,20	47,67	1,4	148	74	0.000276510564894	0.00491955291227294	0.719,0.75	0.959,0.893	-0.192	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc09g010660.3_4047480_4048359_4047480_4047596_4048134_4048359	gene:Solyc09g010660.3	NA	chr9	+	18,18	12,11	7,10	0,1	148	74	2.11541479959e-05	0.000611695924347675	0.429,0.45	1.0,0.833	-0.477	RI	HS1.vs.HS0	protein_coding	protein_coding	Core-2/I-branching beta-16-N-acetylglucosaminyltransferase family protein (AHRD V3.3 *** B6ST68_MAIZE)	Solyc09g010660.3.1	GO:0008375" "GO:0016020	NA
gene:Solyc09g009440.3_2936776_2946455_2936776_2943305_2943410_2946455	gene:Solyc09g009440.3	NA	chr9	+	5,4	4,4	3,3	0,0	148	74	1.19735251747e-06	5.62543762411348e-05	0.385,0.333	1.0,1.0	-0.641	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc09g009440.3_2943410_2947319_2943410_2946455_2947201_2947319	gene:Solyc09g009440.3	NA	chr9	+	69,32	5,6	21,30	0,0	148	74	6.96628068046e-05	0.00158593413947522	0.873,0.727	1.0,1.0	-0.2	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc09g009430.3_2914230_2914799_2914230_2914567_2914667_2914799	gene:Solyc09g009430.3	NA	chr9	-	391,268	244,145	188,198	189,195	148	74	0.000131054230742	0.00265559889698198	0.445,0.48	0.332,0.337	0.128	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc09g005480.3_335338_336782_335338_336630_336732_336782	gene:Solyc09g005480.3	NA	chr9	-	182,225	42,33	128,151	12,9	148	74	0.000645453531952	0.00964727703021725	0.684,0.773	0.842,0.893	-0.139	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc08g081250.4_65132424_65132712_65132424_65132436_65132550_65132712	gene:Solyc08g081250.4	NA	chr8	-	11,7	26,11	18,21	8,6	148	74	2.57548307501e-05	0.00071363463701608	0.175,0.241	0.529,0.636	-0.375	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc08g079590.3_63921611_63922610_63921611_63921825_63922516_63922610	gene:Solyc08g079590.3	NA	chr8	+	73,67	4,12	29,25	0,0	148	74	3.29357081871e-05	0.000876030434695961	0.901,0.736	1.0,1.0	-0.181	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc08g079590.3_63921611_63923414_63921611_63922610_63922735_63923414	gene:Solyc08g079590.3	NA	chr8	+	33,29	9,16	10,13	0,1	148	74	4.1800760444e-05	0.001061819316733	0.647,0.475	1.0,0.867	-0.373	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc08g077060.3_61827544_61828942_61827544_61827700_61827978_61828942	gene:Solyc08g077060.3	NA	chr8	-	52,86	65,60	126,121	15,15	148	74	2.0872192863e-14	6.15613732831483e-12	0.286,0.417	0.808,0.801	-0.453	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc08g076020.4_60906990_60908330_60906990_60907056_60907883_60908330	gene:Solyc08g076020.4	NA	chr8	-	119,82	39,42	4,3	6,14	148	74	1.08817589588e-05	0.000357072167179969	0.604,0.494	0.25,0.097	0.375	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc08g075520.4_60505974_60506629_60505974_60506056_60506484_60506629	gene:Solyc08g075520.4	NA	chr8	-	50,45	6,4	46,55	0,0	148	74	1.73756651753e-05	0.000521761348504908	0.806,0.849	1.0,1.0	-0.172	RI	HS1.vs.HS0	protein_coding	protein_coding	transglutaminase family protein (AHRD V3.3 *** AT4G19160.2)	Solyc08g075520.4.1	NA	NA
Solyc_chr8_NPC00155_60026044_60030386_60026044_60027001_60028122_60030386	Solyc_chr8_NPC00155	NA	chr8	-	18,30	5,10	10,5	0,0	148	74	1.00641747924e-05	0.000336465390257252	0.643,0.6	1.0,1.0	-0.379	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc08g150134.1_54046993_54047875_54046993_54047407_54047514_54047875	gene:Solyc08g150134.1	NA	chr8	-	247,265	65,68	294,241	27,25	148	74	3.98551857961e-07	2.1842650663199e-05	0.655,0.661	0.845,0.828	-0.178	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc08g061320.3_49351890_49352533_49351890_49351939_49352053_49352533	gene:Solyc08g061320.3	NA	chr8	-	110,140	11,12	183,157	76,61	148	74	3.10210190868e-10	4.47528778075601e-08	0.833,0.854	0.546,0.563	0.289	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc08g042040.4_26634950_26636050_26634950_26635108_26635316_26636050	gene:Solyc08g042040.4	NA	chr8	-	3,5	1,0	2,5	2,8	148	74	0.000196248117271	0.00370512537194786	0.6,1.0	0.333,0.238	0.515	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc08g016310.3_7108259_7108550_7108259_7108334_7108409_7108550	gene:Solyc08g016310.3	NA	chr8	-	79,84	112,150	69,18	256,105	148	74	1.18607797583e-07	7.69790705829031e-06	0.261,0.219	0.119,0.079	0.141	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc08g016270.3_7047651_7048957_7047651_7048658_7048782_7048957	gene:Solyc08g016270.3	NA	chr8	-	124,113	21,25	24,6	0,0	148	74	4.37462291847e-06	0.000167567626797671	0.747,0.693	1.0,1.0	-0.28	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc09g005430.3_329425_329842_329425_329640_329719_329842	gene:Solyc09g005430.3	NA	chr9	+	11,7	9,11	4,1	0,0	148	74	6.10267080714e-06	0.00022160792965189	0.379,0.241	1.0,1.0	-0.69	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc08g150101.1_411147_413568_411147_411178_412924_413568	gene:Solyc08g150101.1	NA	chr8	+	85,63	108,76	11,15	3,3	148	74	7.00230993185e-05	0.00159140682483697	0.282,0.293	0.647,0.714	-0.393	RI	HS1.vs.HS0	protein_coding	protein_coding	Unknown protein	Solyc08g150101.1.1	NA	NA
gene:Solyc08g005300.3_248084_248750_248084_248205_248387_248750	gene:Solyc08g005300.3	NA	chr8	+	83,57	11,12	80,103	1,0	148	74	3.07394132371e-09	3.26067351561056e-07	0.79,0.704	0.976,1.0	-0.241	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc08g005240.3_181768_184321_181768_183064_183333_184321	gene:Solyc08g005240.3	NA	chr8	+	12,2	5,9	10,11	0,1	148	74	6.4179501007e-06	0.000232104203573681	0.545,0.1	1.0,0.846	-0.601	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc07g063510.3_66376735_66377688_66376735_66376832_66377242_66377688	gene:Solyc07g063510.3	NA	chr7	+	41,29	15,11	18,28	29,35	148	74	1.22999147022e-05	0.000396720821105588	0.577,0.569	0.237,0.286	0.311	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc07g062543.1_65639556_65642659_65639556_65639707_65640634_65642659	gene:Solyc07g062543.1	NA	chr7	-	10,4	20,15	38,37	19,15	148	74	2.07406543351e-06	8.88001079556822e-05	0.2,0.118	0.5,0.552	-0.367	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc07g056020.3_64393583_64395556_64393583_64395211_64395358_64395556	gene:Solyc07g056020.3	NA	chr7	-	11,24	36,49	117,82	101,68	148	74	6.55846052788e-06	0.000235580967134742	0.133,0.197	0.367,0.376	-0.206	RI	HS1.vs.HS0	protein_coding	protein_coding	Translation initiation factor IF-2 (AHRD V3.3 *** A0A2G2Z4L1_CAPAN)	Solyc07g056020.3.1	NA	NA
gene:Solyc07g055020.3_63645367_63646439_63645367_63645448_63645956_63646439	gene:Solyc07g055020.3	NA	chr7	+	19,25	1,0	38,62	4,20	148	74	4.88758951991e-05	0.00121027111759339	0.905,1.0	0.826,0.608	0.236	RI	HS1.vs.HS0	lncRNA	protein_coding	NA	NA	NA	NA
gene:Solyc09g083020.1_65120279_65121487_65120279_65120936_65121403_65121487	gene:Solyc09g083020.1	NA	chr9	-	12,10	18,18	5,2	44,29	148	74	2.33406222684e-05	0.000659124274590083	0.25,0.217	0.054,0.033	0.19	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc07g052400.3_61397694_61398947_61397694_61398487_61398582_61398947	gene:Solyc07g052400.3	NA	chr7	+	24,32	48,34	7,4	36,24	148	74	0.000185603239227	0.00353780552108359	0.2,0.32	0.089,0.077	0.177	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc07g049470.4_60026223_60026584_60026223_60026360_60026471_60026584	gene:Solyc07g049470.4	NA	chr7	-	1,0	16,14	7,6	5,8	148	74	8.1931588658e-07	4.02668401721003e-05	0.03,0.0	0.412,0.273	-0.328	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc07g045480.3_58769604_58770045_58769604_58769660_58769861_58770045	gene:Solyc07g045480.3	NA	chr7	+	151,131	12,21	126,84	0,0	148	74	8.64457616601e-10	1.06720133430005e-07	0.863,0.757	1.0,1.0	-0.19	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc07g045480.3_58769604_58770421_58769604_58770045_58770172_58770421	gene:Solyc07g045480.3	NA	chr7	+	64,73	15,14	126,126	1,2	148	74	5.3966831004e-11	9.30226966883883e-09	0.681,0.723	0.984,0.969	-0.274	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc07g045480.3_58769604_58770421_58769604_58770045_58770177_58770421	gene:Solyc07g045480.3	NA	chr7	+	68,74	52,52	125,127	0,0	148	74	0	0	0.395,0.416	1.0,1.0	-0.595	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc07g045480.3_58769604_58770421_58769604_58770045_58770299_58770421	gene:Solyc07g045480.3	NA	chr7	+	115,120	12,13	119,107	0,0	148	74	2.7109932077e-09	2.93727815095496e-07	0.827,0.822	1.0,1.0	-0.175	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc07g043260.4_57034161_57034609_57034161_57034457_57034534_57034609	gene:Solyc07g043260.4	NA	chr7	-	34,32	54,47	12,24	59,96	148	74	5.09567120863e-05	0.0012489805377016	0.239,0.254	0.092,0.111	0.145	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc07g040660.4_49388538_49388942_49388538_49388606_49388702_49388942	gene:Solyc07g040660.4	NA	chr7	+	30,13	3,1	9,11	11,8	148	74	7.25981460137e-06	0.000256606895597026	0.833,0.867	0.29,0.407	0.502	RI	HS1.vs.HS0	lncRNA	protein_coding	NA	NA	NA	NA
gene:Solyc07g032220.3_36471759_36472316_36471759_36472200_36472276_36472316	gene:Solyc07g032220.3	NA	chr7	+	41,32	11,10	53,72	45,71	148	74	3.11107127133e-05	0.000835864239852782	0.651,0.615	0.371,0.336	0.279	RI	HS1.vs.HS0	lncRNA	protein_coding	NA	NA	NA	NA
gene:Solyc07g032220.3_36472276_36472511_36472276_36472316_36472391_36472511	gene:Solyc07g032220.3	NA	chr7	+	15,9	39,24	9,12	85,103	148	74	0.000589159788081	0.00898291015198745	0.161,0.158	0.05,0.055	0.107	RI	HS1.vs.HS0	lncRNA	protein_coding	NA	NA	NA	NA
gene:Solyc07g027020.4_33820990_33822382_33820990_33821145_33821733_33822382	gene:Solyc07g027020.4	NA	chr7	-	15,6	11,5	2,2	16,14	148	74	1.04402600296e-05	0.000346753078436251	0.405,0.375	0.059,0.067	0.327	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc02g078230.2_42579726_42580960_42579726_42579955_42580792_42580960	gene:Solyc02g078230.2	NA	chr2	-	15,9	49,21	7,12	88,116	148	74	0.00026513118626	0.00478118705113567	0.133,0.176	0.038,0.049	0.111	RI	HS1.vs.HS0	snRNA	protein_coding	NA	NA	NA	NA
gene:Solyc03g113960.4_60006436_60007447_60006436_60006676_60006896_60007447	gene:Solyc03g113960.4	NA	chr3	+	24,22	7,9	9,8	0,0	148	74	4.80773948586e-06	0.000181023325747736	0.632,0.55	1.0,1.0	-0.409	RI	HS1.vs.HS0	protein_coding	protein_coding	Calmodulin binding protein-like (AHRD V3.3 *-* A0A200QLB3_9MAGN)	Solyc03g113960.4.1	GO:0005516	NA
gene:Solyc02g071640.3_40655159_40655592_40655159_40655235_40655329_40655592	gene:Solyc02g071640.3	NA	chr2	+	6,12	8,13	1,0	9,13	148	74	1.9252475264e-06	8.29637915394286e-05	0.273,0.316	0.053,0.0	0.268	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc02g070690.1_39981624_39984308_39981624_39981791_39982765_39984308	gene:Solyc02g070690.1	NA	chr2	+	60,48	85,63	8,14	68,80	148	74	3.55288576337e-10	5.07050282734713e-08	0.261,0.276	0.056,0.08	0.201	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc08g023645.1_29307155_29307750_29307155_29307215_29307517_29307750	gene:Solyc08g023645.1	NA	chr8	+	12,10	7,10	4,3	12,20	148	74	0.00029133743764	0.00513982320803251	0.462,0.333	0.143,0.07	0.291	RI	HS1.vs.HS0	protein_coding	protein_coding	Unknown protein	Solyc08g023645.1.1	NA	NA
gene:Solyc02g071320.4_40420067_40421155_40420067_40420594_40420699_40421155	gene:Solyc02g071320.4	NA	chr2	-	697,644	80,76	1556,1010	15,4	148	74	0	0	0.813,0.809	0.981,0.992	-0.175	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc02g071320.4_40420067_40421155_40420067_40420594_40420717_40421155	gene:Solyc02g071320.4	NA	chr2	-	747,724	130,113	1568,1037	4,4	148	74	0	0	0.742,0.762	0.995,0.992	-0.242	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc02g068910.3_38392752_38394596_38392752_38393253_38393728_38394596	gene:Solyc02g068910.3	NA	chr2	+	14,13	11,10	13,9	45,34	148	74	6.83283968338e-05	0.00156360111547691	0.389,0.394	0.126,0.117	0.27	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc02g068910.3_38392752_38394596_38392752_38393253_38393746_38394596	gene:Solyc02g068910.3	NA	chr2	+	18,23	0,0	23,24	11,12	148	74	2.29242136385e-09	2.53893953463579e-07	1.0,1.0	0.511,0.5	0.494	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc03g111370.3_57949352_57950001_57949352_57949375_57949780_57950001	gene:Solyc03g111370.3	NA	chr3	-	51,62	25,27	15,25	26,31	148	74	3.54866855188e-05	0.000928072972508912	0.505,0.534	0.224,0.287	0.264	RI	HS1.vs.HS0	protein_coding	protein_coding	C2H2-like zinc finger protein (AHRD V3.3 *** Q8VZP2_ARATH)	Solyc03g111370.3.1	NA	NA
gene:Solyc05g053360.3_66112743_66114536_66112743_66113169_66114392_66114536	gene:Solyc05g053360.3	NA	chr5	-	136,126	6,18	246,182	1,0	148	74	2.26825069838e-09	2.53893953463579e-07	0.919,0.778	0.992,1.0	-0.147	RI	HS1.vs.HS0	protein_coding	protein_coding	transmembrane protein (AHRD V3.3 *-* AT3G17120.5)	Solyc05g053360.3.1	NA	NA
gene:Solyc02g005320.2_7567817_7570192_7567817_7567895_7569597_7570192	gene:Solyc02g005320.2	NA	chr2	-	193,189	28,25	4,13	0,0	148	74	9.64985409497e-05	0.00207749697446049	0.775,0.791	1.0,1.0	-0.217	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc02g005320.2_7578981_7579674_7578981_7579194_7579451_7579674	gene:Solyc02g005320.2	NA	chr2	-	12,13	18,13	4,7	0,1	148	74	1.95043812449e-05	0.000570831091671302	0.25,0.333	1.0,0.778	-0.598	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc12g099510.3_69872767_69873394_69872767_69873162_69873310_69873394	gene:Solyc12g099510.3	NA	chr12	-	338,267	100,84	279,287	45,44	148	74	0.000102050909061	0.00217881132533869	0.628,0.614	0.756,0.765	-0.139	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc12g088810.3_67272949_67273319_67272949_67272989_67273197_67273319	gene:Solyc12g088810.3	NA	chr12	-	1,1	13,6	6,5	4,3	148	74	5.35552140833e-05	0.00130066162657017	0.037,0.077	0.429,0.455	-0.385	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc05g005620.4_441200_443371_441200_441454_442825_443371	gene:Solyc05g005620.4	NA	chr5	-	25,31	17,18	80,50	8,12	148	74	0.000110296410954	0.00231448081326002	0.424,0.463	0.833,0.676	-0.311	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc12g056210.3_65382747_65383145_65382747_65382856_65383044_65383145	gene:Solyc12g056210.3	NA	chr12	-	569,638	13,24	148,134	21,33	148	74	3.02491365289e-12	6.58166663245615e-10	0.956,0.93	0.779,0.67	0.219	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc12g056210.3_65382747_65383145_65382747_65382859_65383044_65383145	gene:Solyc12g056210.3	NA	chr12	-	566,642	65,131	137,136	69,94	148	74	3.82560649825e-12	8.18957455613276e-10	0.813,0.71	0.498,0.42	0.302	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc12g049611.1_64372393_64376649_64372393_64372463_64375230_64376649	gene:Solyc12g049611.1	NA	chr12	+	45,41	10,6	8,6	14,16	148	74	6.4501992636e-10	8.4762643293199e-08	0.692,0.774	0.222,0.158	0.543	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc12g049611.1_64372393_64380852_64372393_64372463_64378756_64380852	gene:Solyc12g049611.1	NA	chr12	+	21,31	25,23	8,10	30,36	148	74	4.63940418189e-05	0.00115854171221326	0.296,0.403	0.118,0.122	0.23	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc12g049230.2_63716281_63718354_63716281_63716641_63718310_63718354	gene:Solyc12g049230.2	NA	chr12	+	9,10	15,11	3,2	25,15	148	74	0.000285556039056	0.00505339003782768	0.231,0.312	0.057,0.062	0.212	RI	HS1.vs.HS0	protein_coding	protein_coding	DUF1296 domain-containing protein (AHRD V3.3 *** A0A1Q3CXG7_CEPFO)	Solyc12g049230.2.1	NA	NA
gene:Solyc08g083360.3_66687734_66688140_66687734_66687987_66688058_66688140	gene:Solyc08g083360.3	NA	chr8	+	50,43	44,36	88,144	217,258	145	74	1.328224689e-05	0.000421717862404891	0.367,0.379	0.171,0.222	0.176	RI	HS1.vs.HS0	protein_coding	protein_coding	Photosynthetic NDH subcomplex B 3 (AHRD V3.3 *** A0A0F7GXX2_9ROSI)	Solyc08g083360.3.1	NA	NA
gene:Solyc02g089270.1_50886123_50887721_50886123_50886899_50886999_50887721	gene:Solyc02g089270.1	NA	chr2	-	39,35	30,8	59,57	1,3	148	74	9.8524708203e-07	4.73793184646492e-05	0.394,0.686	0.967,0.905	-0.396	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc02g083780.3_46666308_46667369_46666308_46666717_46667260_46667369	gene:Solyc02g083780.3	NA	chr2	-	43,32	13,5	26,35	1,0	148	74	3.88177700306e-06	0.000151309501536311	0.623,0.762	0.929,1.0	-0.272	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc12g021130.2_14588492_14590162_14588492_14588684_14589378_14590162	gene:Solyc12g021130.2	NA	chr12	+	82,62	13,15	60,56	2,1	148	74	7.94058150189e-06	0.000275893633465537	0.759,0.674	0.938,0.966	-0.235	RI	HS1.vs.HS0	protein_coding	protein_coding	Reticulon-like protein (AHRD V3.3 *** A0A1U8G1W9_CAPAN)	Solyc12g021130.2.1	NA	NA
gene:Solyc08g067910.3_57783572_57785079_57783572_57783817_57784817_57785079	gene:Solyc08g067910.3	NA	chr8	-	31,18	9,7	1,4	0,0	148	74	6.75753099085e-05	0.00155037735654376	0.633,0.562	1.0,1.0	-0.402	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc12g019490.2_10775558_10776028_10775558_10775720_10775830_10776028	gene:Solyc12g019490.2	NA	chr12	-	81,65	3,8	137,126	0,1	148	74	2.12677992578e-05	0.000614313091728293	0.931,0.802	1.0,0.984	-0.125	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
